run_id,sim_time,pre_time,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251020_023749,2002,2,0.0630895210074317,0.0577255130226172,0.879343892491507,0.2847471547213551,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879665009,0.1,1.0,-60.0,-30.0000608007821,84.9999409040899,482424.9974539236,41724.99987296658,310.00006009720533,0.0083553140086661,1.4999540057248155,0.4999641054728956,25.0,-50.0,0.1,0.0199520271524345,1.000066106961393,0.1999535537321469,1.0,0.1,5.5,0.0009521803844235,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,1.0,1.0,0.1,0.1
20251020_024438,2002,2,0.0630894882579839,0.0577255199680494,0.8793425858519566,0.2847471792261146,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999407312582354,0.1,1.0,-60.0,-30.00006080083481,84.99999985072257,435531.08049227553,28509.9276254174,310.0000600972574,0.0083553151835376,1.4999550459205675,0.4999644521869812,25.0,-50.0,0.1,0.0199520357794787,1.0000661070186987,0.1999535866596583,1.0,0.1,5.5,0.0009521803429705,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,5.5,5.5,0.1,0.1
20251020_025123,2002,2,0.0630894652753887,0.0577255134112873,0.8793420419075344,0.2847471560926545,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406903891292,0.1,1.0,-60.0,-30.00006080078505,84.99994420277457,482424.9994769699,41724.999973570106,310.00006009720823,0.0083553140744125,1.4999540639347273,0.4999641248751956,25.0,-50.0,0.1,0.0199520276352084,1.0000661069645995,0.1999535048570863,1.0,0.1,5.5,0.0009521803821038,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,10.0,10.0,0.1,0.1
20251020_025817,2002,2,0.0547527665750853,0.0577255130727284,0.8793441059912402,0.2847471548981563,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406882788497,0.1,1.0,-60.0,-30.00006080078248,84.99994132938838,482424.9936803248,41724.99994287244,310.0000600972057,0.0083553140171427,1.499954013229811,0.4999641079744258,25.0,-50.0,0.1,0.0199520272146783,1.0000661069618064,0.199953500633204,1.0,0.1,5.5,0.0504460975703832,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,1.0,1.0,0.1,0.1
20251020_030520,2002,2,0.0547521325575571,0.0577255199542357,0.8793425868543803,0.2847471791773773,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999407311721329,0.1,1.0,-60.0,-30.000060800834703,84.99999973348423,152792.97645986875,31765.30613145406,310.0000600972573,0.0083553151812009,1.4999550438517333,0.4999644514974052,25.0,-50.0,0.1,0.0199520357623204,1.0000661070185846,0.1999535864873177,1.0,0.1,5.5,0.0504460975240873,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,5.5,5.5,0.1,0.1
20251020_031230,2002,2,0.0547515073771513,0.0577255199680494,0.8793415661028977,0.2847471792261146,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999407312582354,0.1,1.0,-60.0,-30.00006080083481,84.99999985072257,379963.9885454375,38715.15257377535,310.0000600972574,0.0083553151835376,1.4999550459205675,0.4999644521869812,25.0,-50.0,0.1,0.0199520357794787,1.0000661070186987,0.1999535866596583,1.0,0.1,5.5,0.0504460975239943,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,10.0,10.0,0.1,0.1
20251020_031859,2002,2,0.0529395347003847,0.0577255130176465,0.8793177604576364,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,84.99994086190297,426117.1160337262,28974.974584075622,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,1.0,1.0,0.1,0.1
20251020_032527,2002,2,0.0529388650321626,0.0577255130176465,0.8793167408488002,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,84.99994086190297,204023.4923058817,14734.034509139525,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,5.5,5.5,0.1,0.1
20251020_033158,2002,2,0.0529381969898903,0.0577255130176465,0.8793157212519528,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,84.99994086190297,402670.3104902777,30730.344354695186,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,17.0,85.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,10.0,10.0,0.1,0.1
20251020_033844,2002,2,0.0630895199374842,0.0577255139271024,0.879344169938582,0.2847471579125447,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406936042675,0.1,1.0,-60.0,-30.000060800788965,164.9999773679807,482424.9997539271,28974.978715328834,310.0000600972121,0.0083553141616664,1.4999541411867452,0.4999641506245344,25.0,-50.0,0.1,0.0199520282759112,1.0000661069688557,0.1999534273590129,1.0,0.1,5.5,0.0009521803790252,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,33.0,165.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,1.0,1.0,0.1,0.1
