time,AM,AMP
0.0,0.0,0.0
0.1,3.049059213334076e-09,7.827980835206638e-06
0.2,1.3428597842467451e-08,1.622097145759227e-05
0.30000000000000004,3.0836272565437624e-08,2.41648960477292e-05
0.4,5.491234344447375e-08,3.1710461325218375e-05
0.5,8.533943268381998e-08,3.890334264289308e-05
0.6000000000000001,1.2183818826362323e-07,4.578446959435656e-05
0.7000000000000001,1.6416338425066537e-07,5.239052460803695e-05
0.8,2.12100438171539e-07,5.875438934388466e-05
0.9,2.654623011178982e-07,6.490554425520045e-05
1.0,3.2408668096760143e-07,7.087042621323203e-05
1.1,3.8783356333726026e-07,7.6672748614115e-05
1.2000000000000002,4.565829986625048e-07,8.233378791389079e-05
1.3,5.302331271826369e-07,8.787264009146867e-05
1.4000000000000001,6.086984165955674e-07,9.330645021654593e-05
1.5,6.919080898665624e-07,9.865061793512542e-05
1.6,7.798047230582844e-07,0.00010391898140105216
1.7000000000000002,8.723429952062967e-07,0.00010912398192308714
1.8,9.694885741749399e-07,0.00011427681134190681
1.9000000000000001,1.0712171241550247e-06,0.00011938754396467743
2.0,1.1775134219717092e-06,0.00012446525465981129
2.1,1.2883705707575217e-06,0.00012951812457417944
2.2,1.403789300753891e-06,0.00013455353577040974
2.3000000000000003,1.5237773481075481e-06,0.0001395781559598852
2.4000000000000004,1.6483489034870575e-06,0.00014459801434418829
2.5,1.777524123231865e-06,0.00014961856952289132
2.6,1.9113286965064877e-06,0.00015464477029014656
2.7,2.049793462645544e-06,0.00015968111006636754
2.8000000000000003,2.192954073482284e-06,0.00016473167563801905
2.9000000000000004,2.3408506960157393e-06,0.00016980019080303776
3.0,2.4935277512638058e-06,0.0001748900554342514
3.1,2.6510336855957304e-06,0.00018000438050058687
3.2,2.813420771236842e-06,0.00018514601939179087
3.3000000000000003,2.9807449329780516e-06,0.00019031759599863474
3.4000000000000004,3.1530655984571533e-06,0.00019552152985902183
3.5,3.3304455696524296e-06,0.00020076005868718827
3.6,3.5129509134849893e-06,0.00020603525855522609
3.7,3.700650869644799e-06,0.0002113490619808367
3.8000000000000003,3.893617773974793e-06,0.00021670327414446966
3.9000000000000004,4.091926995905827e-06,0.00022209958740315727
4.0,4.295656888617729e-06,0.0002275395943366343
4.1000000000000005,4.504888750738016e-06,0.0002330247994281054
4.2,4.71970679850641e-06,0.00023855662952754209
4.3,4.940198147477042e-06,0.000244136443276588
4.4,5.1664528029124714e-06,0.0002497655395385934
4.5,5.398563658118829e-06,0.0002554451649869893
4.6000000000000005,5.636626500066858e-06,0.0002611765209038497
4.7,5.880740021699062e-06,0.00026696076931442825
4.800000000000001,6.131005840406883e-06,0.00027279903847765574
4.9,6.387528522215012e-06,0.00027869242785028003
5.0,6.65041561126243e-06,0.0002846420125486304
5.1000000000000005,6.919777664215472e-06,0.00029064884735752194
5.2,7.195728289300239e-06,0.0002967139703760058
5.300000000000001,7.4783841896708e-06,0.00030283840627587377
5.4,7.767865210873638e-06,0.0003090231692841616
5.5,8.064294392184446e-06,0.00031526926584146686
5.6000000000000005,8.367798021645338e-06,0.00032157769705709605
5.7,8.678505694633597e-06,0.00032794946089986787
5.800000000000001,8.996550375823177e-06,0.00033438555421605454
5.9,9.322068464428888e-06,0.0003408869745615828
6.0,9.655199862634394e-06,0.00034745472187380777
6.1000000000000005,9.996088047117056e-06,0.0003540898000067294
6.2,1.034488014360698e-05,0.0003607932181353135
6.300000000000001,1.0701727004429664e-05,0.00036756599205500784
6.4,1.1066783288988821e-05,0.0003744091453800058
6.5,1.144020754716275e-05,0.0003813237106500278
6.6000000000000005,1.1822162305603122e-05,0.00038831073037659536
6.7,1.2212814156911618e-05,0.00039537125798350115
6.800000000000001,1.2612333851712035e-05,0.00040250635873662066
6.9,1.302089639361735e-05,0.0004097171105768016
7.0,1.3438681137108775e-05,0.00041700460493931946
7.1000000000000005,1.3865871888355884e-05,0.0004243699475016127
7.2,1.430265700899543e-05,0.00043181425893279446
7.300000000000001,1.4749229522921582e-05,0.00043933867557144346
7.4,1.5205787226106796e-05,0.00044694435010717015
7.5,1.567253279951924e-05,0.00045463245223542614
7.6000000000000005,1.614967392518712e-05,0.00046240416927745276
7.7,1.6637423405449986e-05,0.0004702607068014508
7.800000000000001,1.7135999285474888e-05,0.0004782032892202137
7.9,1.76456249790978e-05,0.00048623316038953757
8.0,1.8166529398060225e-05,0.0004943515841785429
8.1,1.869894708470928e-05,0.0005025598450609792
8.200000000000001,1.9243118348256703e-05,0.0005108592486841035
8.3,1.9799289404662054e-05,0.0005192511224311191
8.4,2.036771252022699e-05,0.0005277368160024887
8.5,2.0948646159002718e-05,0.0005363177019780396
8.6,2.1542355134099026e-05,0.0005449951763996097
8.700000000000001,2.2149110762989005e-05,0.0005537706593370384
8.8,2.276919102691559e-05,0.0005626455954795828
8.9,2.3402880734504855e-05,0.0005716214547103471
9.0,2.4050471689695934e-05,0.0005806997327122421
9.1,2.4712262864100583e-05,0.0005898819515578468
9.200000000000001,2.5388560573909572e-05,0.0005991696603276919
9.3,2.6079678661473186e-05,0.0006085644357205489
9.4,2.6785938681671802e-05,0.0006180678826898101
9.5,2.750767009321562e-05,0.0006276816350733183
9.600000000000001,2.824521045500175e-05,0.0006374073562503968
9.700000000000001,2.8998905627674275e-05,0.0006472467398052073
9.8,2.97691099805174e-05,0.0006572015101912188
9.9,3.055618660384666e-05,0.0006672734234335342
10.0,3.136050752704015e-05,0.0006774642678227805
10.100000000000001,3.21824539423694e-05,0.0006877758646408605
