run_id,sim_time,pre_time,final_cost,alpha0,alpha1,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,Ca_SR,Ca_in_SMC,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24
20250811_121557,2066.0,260.0,0.000450183,0.017060968,0.255164616,-60.0,-28.43486848,0.039062363,0.030501553,0.306012657,42.64107623,-48.75448445,11.15457352,16.18663071,96485.0,8345.0,310.0,0.059835688,39.98878349,0.133174291,4.566771555,0.399687099,4.330561667,0.047234692,37.41492067,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.001,0.1,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250811_123037,2060.0,310.0,0.000444747,0.036886503,0.249854828,-60.0,-27.95198294,0.027808228,0.038416753,1.951033321,43.48711086,-49.96692425,11.99998415,15.99999945,96485.0,8345.0,310.0,0.069079413,12.69274773,0.061432254,4.499996147,0.399997458,46.99160996,0.315493753,35.82514741,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.001,0.1,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250811_160214,2066.0,266.0,0.000506057,0.020703265,0.252853733,-60.0,-29.13890851,0.000725791,0.354485303,0.348981834,51.41566305,-49.49574094,11.34456259,15.79933419,96485.0,8345.0,310.0,0.088265874,4.580967834,0.70561659,4.517985015,0.399969675,6.259035644,0.046240522,18.13545168,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.01,1.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250811_170028,2066.0,266.0,0.000451133,0.033603705,0.216421095,-60.0,-25.2512606,0.070564459,3.33999481,2.246433384,179.7642272,-41.85511896,10.04170076,18.66970989,96485.0,8345.0,310.0,0.089899039,19.35512691,0.187058046,4.028952591,0.400017868,12.02749936,0.119782728,48.58572607,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,1.8,180.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250811_190704,2066.0,266.0,0.000450527,0.006527252,0.217416275,-60.0,-21.54488163,0.000808645,9.999923189,1.059592488,345.0111221,-37.25838923,10.74426936,25.51799253,96485.0,8345.0,310.0,0.100166955,8.094000374,0.137317914,4.507586665,0.400057643,12.99488998,0.119760841,49.9836851,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.1,10.0,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250811_191348,2066.0,266.0,0.000510558,0.044068851,0.245327236,-60.0,-29.0721801,0.000720702,0.428436507,1.001248632,38.50200187,-49.50008841,11.36578835,15.80809595,96485.0,8345.0,310.0,0.090747408,4.680377442,0.715741503,4.517513206,0.399954365,6.076060727,0.046604359,11.47432821,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.1,10.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
20250812_125142,2066.0,266.0,0.000625378,0.005083498,0.50910297,-60.0,-28.06047415,0.008449707,3.337008751,1.383653838,24.9287006,-35.07799343,83.85919125,1.940776034,96485.0,8345.0,310.0,0.046677626,5.250608002,0.591175205,0.450081156,0.406936523,54.67344795,4.909174689,49.6454694,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.05,5.0,0.5,50.0
20250812_135851,2066.0,266.0,0.000486824,0.005000141,0.22974259,-60.0,-31.60858724,0.006075547,3.335406378,2.20231525,28.50103148,-48.52877146,9.204890751,17.08580193,96485.0,8345.0,310.0,0.199947239,3.609606039,0.617891202,4.639058833,0.399118102,3.670699028,0.039801092,8.452474709,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.1,10.0
20250812_144910,2066.0,266.0,0.141621152,0.036234552,0.218357254,-60.0,-23.46700536,0.070387426,3.33776739,1.688506269,379.6132868,-41.01056467,10.01804052,18.79351626,96485.0,8345.0,310.0,0.0876446,15.80157705,0.184860806,4.036933361,0.982146914,54.99999835,0.005052932,955.8652797,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,10.0,1000.0
20250812_161224,2066.0,266.0,0.000375155,0.005036293,0.081044128,-60.0,-21.0000004,0.071764159,0.033450228,4.999104546,27.44117561,-66.99999988,5.184064067,28.68292828,96485.0,8345.0,310.0,0.042820669,4.955942376,0.163480292,4.328250685,0.394146839,3.756418932,0.000592645,3.166519772,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.0001,0.01,0.5,50.0
