time (sec),Ca (uM)
6,0.116477281
11,0.226136365
21,0.275568187
32,0.302272725
43,0.317613616
54,0.326136344
64,0.326704549
80,0.326136344
97,0.319318179
129,0.313636361
191,0.305681818
254,0.301704552
318,0.29545455
642,0.277272728
1288,0.257954538
1938,0.240909084
