time (sec),Ca (uM)
6,0.116477281
10,0.226136365
20,0.274885844
30,0.301369868
40,0.316894981
50,0.326027401
60,0.327397261
75,0.326940638
90,0.317808218
120,0.313242008
180,0.305022815
240,0.301826482
300,0.29543379
600,0.276255704
1200,0.257077618
1800,0.241095882
