time (sec),Ca (uM)
266,0.116477281
271,0.226136365
281,0.275568187
292,0.302272725
303,0.317613616
314,0.326136344
324,0.326704549
340,0.326136344
357,0.319318179
389,0.313636361
451,0.305681818
514,0.301704552
578,0.29545455
902,0.277272728
1548,0.257954538
2198,0.240909084
