run_id,sim_time,pre_time,final_cost,alpha0,alpha1,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,Ca_SR,Ca_in_SMC,delta_SMC,k_RyR,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24
20250815_135531,2066,266,0.0005212174999149,0.0191524452164894,0.1336247962730746,-60.0,-27.37211474174003,0.0420312531928312,0.8883395557269517,2.440359692899549,35.34239680456742,-54.77829547014762,10.109079139529294,14.423329462530988,96485.0,8345.0,310.0,0.1877188475606475,5.562296847831698,0.7161317698558834,2.528156693071645,0.3993266598422271,6.672067062269536,31.72975,0.193737,0.0457879591513203,49.99921761085847,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,31.72975,31.72975,0.193737,0.193737,0.005,0.5,0.5,50.0
20250819_033309,2066,266,0.1149626634944528,0.05,0.25,-60.0,-30.0,0.0072,0.334,0.5,38.0,-50.0,12.0,16.0,96485.0,8345.0,310.0,0.1,4.5,0.1,4.5,0.4,5.5,27.5,0.116477,0.05,5.0,0.05,0.05,0.25,0.25,-60.0,-60.0,-30.0,-30.0,0.0072,0.0072,0.334,0.334,0.5,0.5,38.0,38.0,-50.0,-50.0,12.0,12.0,16.0,16.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.1,0.1,4.5,4.5,0.1,0.1,4.5,4.5,0.4,0.4,5.5,5.5,27.5,27.5,0.116477,0.116477,0.05,0.05,5.0,5.0
20250819_033844,2066,266,0.0004894953834758,0.05,0.25,-80.0,-30.0,0.0072,0.334,0.5,38.0,-50.0,11.5,16.0,96485.0,2345.0,310.0,0.1,4.5,0.1505,4.5,0.4,5.5,20.95,0.14834,0.05,5.0,0.05,0.05,0.25,0.25,-80.0,-80.0,-30.0,-30.0,0.0072,0.0072,0.334,0.334,0.5,0.5,38.0,38.0,-50.0,-50.0,11.5,11.5,16.0,16.0,96485.0,96485.0,2345.0,2345.0,310.0,310.0,0.1,0.1,4.5,4.5,0.1505,0.1505,4.5,4.5,0.4,0.4,5.5,5.5,20.95,20.95,0.14834,0.14834,0.05,0.05,5.0,5.0
20250819_040213,2066,266,0.0004513412196941,0.0052064358400697,0.2673317263754254,-80.0,-36.073275016708976,0.0175524055149678,3.337970500319749,0.3784402132189681,26.28383096164086,-51.545176485486245,10.488126559682073,15.558066977778058,96485.0,2345.0,310.0,0.0564686343963784,11.523685268464146,0.8540985398698245,4.524201041527673,0.3996430406096233,2.980235943129713,20.95,0.14834,0.0423621274744585,47.4401127769932,0.005,0.1,0.025,2.5,-80.0,-80.0,-40.2,-21.0,0.00072,0.072,0.0334,3.3400000000000003,0.05,5.0,3.8,380.0,-60.0,-35.0,1.15,115.0,1.6,160.0,96485.0,96485.0,2345.0,2345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01505,1.505,0.45,45.0,0.04,4.0,0.55,55.0,20.95,20.95,0.14834,0.14834,0.005,0.5,0.5,50.0
20250819_044608,2066,266,0.0004779377945563723,0.017924384665398127,0.20206079928347817,-60.0,-29.194118998595478,0.007202904982896729,0.7133377374342275,2.3597474446056657,9.008284382198537,-47.52802095166734,10.281790506979394,16.190529319659504,96485.0,8345.0,310.0,0.14521560863514427,4.452825534478186,0.24039176748050853,3.6947371580667463,0.39933663361693456,4.739881063878029,27.8325359475,0.1937374498,0.04702217012111605,30.29294309263136,0.005000000000000001,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.00072,0.072,0.033400000000000006,3.3400000000000003,0.05,5.0,3.8000000000000003,380.0,-60.0,-35.0,1.2000000000000002,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.010000000000000002,0.2,0.45,45.0,0.010000000000000002,1.0,0.45,45.0,0.04000000000000001,4.0,0.55,55.0,27.8325359475,27.8325359475,0.1937374498,0.1937374498,0.005000000000000001,0.5,0.5,50.0
