run_id,run_counter,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251023_054215,4788,0.0017233231891936,0.3034198915191281,9.806574992660456,0.676642355206906,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4423545867232835,2.4999999716831542,1.0,-60.0,-35.43940858678584,33.50175674804603,448243.9674614513,24313.18390080237,68.61956234923665,0.1199378808070441,1.333204132882216,2.4999987913717505,25.0,-50.0,12.0,0.2004669653677294,13.914826134468347,0.0593639722738119,5.359449985445705,0.5540239937545217,6.599935099485503,0.009946807900406,49.37691272895912,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
20251023_061614,867,0.0025444029190346,0.3005559376946219,7.025946138707662,0.6745638701388352,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4999098670071019,1.5546556669228715,1.0,-60.0,-22.7043002438174,79.99414240844975,373074.18908355024,6133.530342089799,62.00921789830951,0.1199403250004972,1.4108077492290776,0.665564135919356,25.0,-50.0,12.0,0.499947951178765,22.49999998327357,0.4999559357351521,4.500066311057523,0.5055005461759671,6.599964468441653,0.0502394781721938,0.9125297091828052,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_062223,7529,0.0007057123880627,0.2921547215300483,19.33917907400771,0.6683096559211399,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4994331872604824,0.9706660543258516,1.0,-60.0,-34.25420463479564,57.34169747611325,427361.4666547055,1885.315795088732,66.12142738280274,0.1199410125744917,1.333437708532647,2.499718975089636,25.0,-50.0,12.0,0.1306333684493661,22.4998499288627,0.0500000007498913,4.500066313344043,0.4915025117692585,4.405167513505648,0.0467352476387941,1.474617379040697,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_071547,1275,0.0032200614270022,0.3015852711699108,7.564909117225798,0.6753139672068756,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4261332771328157,1.5546825821647925,1.0,-60.0,-21.40225353503041,78.82935000209177,91795.59222361595,16116.38914312436,62.0000638809704,0.1199406879355178,0.8902077478926103,2.499939398530376,50.0,-50.0,12.0,0.3027959202446373,22.499959032286306,0.499135882276327,4.500066312264455,0.5303068496219147,6.5999444486528445,0.0099528402081454,9.999940987476233,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.1,10.0,5.55,5.55
20251023_072451,3626,0.0018216669607953,0.3026564810525678,10.501219708033242,0.6760909176182065,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4089780062426422,2.4999729153279526,1.0,-60.0,-32.678562306175884,23.809371442604743,463080.7435466309,1707.6619780529868,62.14602892433199,0.1199718789883228,1.8151553752622789,1.1779328731715946,50.0,-50.0,12.0,0.0200404152480876,11.686506521010184,0.0614313791278186,5.004178986586419,0.554116544974836,6.599934197878685,0.0099573792321901,34.33087702755796,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
20251023_075033,840,0.0025443045504438,0.3005502598625488,7.025682417064184,0.6745597229710243,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4999098664189307,0.925947784226524,1.0,-60.0,-21.402417352681507,79.99629262935814,273567.7957776813,16116.429050569546,62.00455288628121,0.1199403249744307,0.8885825426107022,2.4999320500489617,50.0,-50.0,12.0,0.4999460077214584,22.49999998621472,0.4999559345065781,4.500066311057436,0.5054909968822011,6.5999644698795,0.0502411978409192,0.9127624204872196,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_075631,4415,0.0007222957490316,0.3006686407383344,16.294834100359196,0.6746461681490983,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4983429224942196,2.4999399657875103,1.0,-60.0,-22.858765955984094,79.99971995820698,304870.38906315155,1669.0001838002167,62.48096087538623,0.1199406284089408,0.8947857995010498,2.4970611065527857,50.0,-50.0,12.0,0.1049102026523973,9.4816839262631,0.0500018738941846,4.500066312066501,0.5061366974366507,4.564791412406549,0.0333835368655782,0.7513756586129757,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_082749,5764,0.0019067871856455,0.3019897909020941,9.150693673424364,0.6756078036874897,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.387355314355114,2.4999617918526047,1.0,-60.0,-21.00000259472701,115.239213272967,479213.01879926975,1669.0000000123382,62.06833659464968,0.008358831506945,0.6100710460175507,0.4999502602063796,25.0,-50.0,12.0,0.0200014903533359,7.05994949995935,0.0673572831454091,4.881596127313768,0.5573512334196645,6.434187481691768,0.009998697109322,8.065695064520877,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.1,10.0,5.55,5.55
20251023_090840,7517,0.0017311245633414,0.302902119152848,12.483470220829595,0.6762685555624302,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4220343068597548,2.49993750473445,1.0,-60.0,-21.00003629454385,33.83377951984339,482424.7629751499,1980.0125349313148,69.32567398897802,0.008358831506945,0.610074736449783,0.4999502596034059,25.0,-50.0,12.0,0.0200353607185168,13.550220555701552,0.0500002629463388,5.673381152733742,0.5688962208108884,6.599163391985995,0.0099434567362187,19.699075081164835,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
20251023_100141,5458,0.0007171747111251,0.2944491266727265,19.58014210906216,0.670041442344277,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4987334557192279,2.49994079180136,1.0,-60.0,-21.00002314596337,146.08329132074968,292496.16788356466,13880.116885280677,62.049560430389874,0.0083588334921424,0.6100751894563252,0.4999508439144481,25.0,-50.0,12.0,0.0211740235631099,5.006965117322926,0.0500445284798799,4.500066312361349,0.495557798641293,4.697362361405092,0.0388425856497095,0.1000059197319448,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
